 Average of Income 	 Column Labels 									
 Row Labels 	 No 	 Yes 	 Grand Total 							
 Female 	" 53,498 "	" 55,541 "	" 54,494 "							
 Male 	" 55,098 "	" 59,469 "	" 57,152 "							
 Grand Total 	" 54,317 "	" 57,484 "	" 55,832 "							
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
Count of Purchased Bike	Column Labels									
Row Labels	No	Yes	Grand Total							
0-1 Miles	153	187	340							
1-2 Miles	88	76	164							
2-5 Miles	67	92	159							
5-10 Miles	112	72	184							
More than 10 Miles	78	30	108							
Grand Total	498	457	955							
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
Count of Purchased Bike	Column Labels									
Row Labels	No	Yes	Grand Total							
Middle Age (31-55)	313	369	682							
Adolescent (25-30)	68	37	105							
Old (56-89)	117	51	168							
Grand Total	498	457	955							
										
										
										
										
										
										
										
										
										
										
										
										
										
										
Count of Purchased Bike	Column Labels									
Row Labels	No	Yes	Grand Total							
25	1	3	4							
26	8	8	16							
27	15	8	23							
28	12	9	21							
29	10	5	15							
30	22	4	26							
31	16	8	24							
32	19	14	33							
33	8	11	19							
34	12	18	30							
35	13	21	34							
36	6	29	35							
37	4	27	31							
38	7	27	34							
39	9	11	20							
40	22	15	37							
41	13	13	26							
42	21	12	33							
43	16	19	35							
44	14	12	26							
45	17	12	29							
46	11	14	25							
47	17	19	36							
48	16	12	28							
49	14	8	22							
50	11	12	23							
51	10	12	22							
52	10	14	24							
53	11	13	24							
54	5	11	16							
55	11	5	16							
56	13	3	16							
57	4	4	8							
58	8	4	12							
59	14	6	20							
60	8	6	14							
61	5	4	9							
62	9	4	13							
63	7	2	9							
64	7	3	10							
65	6	3	9							
66	8	5	13							
67	8	2	10							
68	3		3							
69	8		8							
70	3	1	4							
71	1		1							
72		1	1							
73	2	2	4							
78	1	1	2							
80	1		1							
89	1		1							
Grand Total	498	457	955							
